R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - Łuków ważny od 15.IX do 19.X;;;19891 (D);93851 (C);19851;10451;19841 (D);19205 (C);93800/1;93220/1;10453 (D);19853;93810/1;21840/1
Km Od stacji : ;;;;;;;;;(D);(D);;;(D);(D)
;;;;;;;;;Sochaczew;Żyrardów;;;Góra Kalwaria;CZACHÓWEK PŁD.
0;Warszawa Zachodnia Warszawa Ochota;o o;03:39;03:39;04:24;;05:05;05:20;05:20;05:24;;05:39;06:20;06:05
2,175;;;03:43;03:43;04:28;;05:09;05:24;05:24;05:28;;05:43;06:24;06:09
3,082;Warszawa Śródmieście;o;03:46;03:46;04:31;;05:12;05:27;05:27;05:31;;05:46;06:27;06:12
3,082;Warszawa Centralna;p;< ;< ;< ;;< ;< ;< ;< ;;< ;< ;< 
;;o;< ;< ;< ;;< ;< ;< ;< ;;< ;< ;< 
4,872;Warszawa Powiśle Warszawa Stadion;o o;03:49;03:49;04:34;;05:15;05:30;05:30;05:34;;05:49;06:30;06:15
6,278;;;03:51;03:51;04:36;;05:17;05:32;05:32;05:36;;05:51;06:32;06:17
7,336;Warszawa Wschodnia;p;03:53;03:53;04:38;;05:19;05:34;05:34;05:38;;05:53;06:34;06:19
;;o;03:54;03:54;04:39;;05:20;05:35;05:35;05:39;;05:54;06:35;06:20
14,835;Warszawa Rembertów;p;04:01;04:01;04:45;;05:27;05:42;05:42;05:46;;06:00;06:42;06:27
;;o;04:02;04:02;04:46;;05:28;05:43;05:43; ;;06:01;06:43;06:30
19,467;W-wa Wesoła;o o;04:06;04:06;04:50;;05:32;05:47;05:47;;;06:05;06:47;06:34
21,265;W-wa Wola Grzybowska;;04:09;04:09;04:53;;05:34;05:50;05:50;;;06:08;06:49;06:36
23,071;Sulejówek;o;04:11;04:11;04:55;;05:37;05:52;05:52;;;06:10;06:52;06:39
24,649;Sulejówek Miłosna;p;04:13;04:13;04:57;;05:39;05:54;05:54;;;06:12;06:54;06:41
;;o;04:14;04:14;04:57;;05:39;05:55;05:55;;;06:12;06:54;06:41
28,746;Halinów Cisie;o o;04:17;04:17;05:01;;05:43;05:58;05:58;;;06:16;06:58;06:45
31,895;;;04:20;04:20;05:04;;05:46;06:01;06:01;;;06:19;07:01;06:48
34,433;Dębe Wielkie;o o;04:23;04:23;05:06;;05:49;06:04;06:04;;;06:21;07:04;06:51
35,743;Nowe Dębe Wielkie;;04:26;04:26;05:08;;05:51;06:06;06:06;;;06:23;07:06;06:53
38,882;Wrzosów;o;04:29;04:29;05:11;;05:54;06:09;06:09;;;06:26;07:09;06:56
43,677;Mińsk Maz.;p;04:33;04:33;05:15;;05:58;06:14;06:14;;;06:30;07:13;07:00
;;o;04:34;04:34;05:16;;05:59; ; ;;;06:31; ;07:01
46,169;Mińsk Maz. Anielina Barcząca;o o;04:37;04:37;05:18;;06:02;;;;;06:33;;07:04
49,225;;;04:40;04:40;05:21;;06:05;;;;;06:36;;07:07
53,486;Mienia Cegłów;o o;04:43;04:43;05:25;;06:08;;;;;06:40;;07:10
56,866;;;04:47;04:47;05:28;;06:12;;;;;06:43;;07:14
61,767;Mrozy;p;04:50;04:50;05:31;;06:16;;;;;06:46;;07:18
66,876;Grodziszcze Maz.;o o;04:51;04:51;05:32;; ;;;;;06:47;; 
;;;04:55;04:55;05:36;;;;;;;06:51;;
71,847;Sosnowe Koszewnica;o o;04:59;04:59;05:40;;;;;;;06:55;;
75,251;;;05:02;05:02;05:43;;;;;;;06:58;;
80,51;Kotuń Sabinka;o o;05:07;05:07;05:47;;;;;;;07:02;;
88,427;;;05:12;05:12;05:52;;;;;;;07:07;;
92,945;Siedlce Zach.;o;05:16;05:16;05:55;;;;;;;07:10;;
95,776;Siedlce;p;05:19;05:19;05:58; ;;;;; ;07:13;;
;;o;05:20; ; ;06:04;;;;;07:18; ;;
98,496;Siedlce Wschodnie;o o;05:23;;;06:07;;;;;07:21;;;
100,417;Białki Siedleckie;;05:26;;;06:10;;;;;07:24;;;
103,415;Kosiorki;o o;05:29;;;06:13;;;;;07:27;;;
105,962;Borki Kosy;;05:32;;;06:16;;;;;07:30;;;
110,404;Dziewule Radomyśl;o o;05:36;;;06:20;;;;;07:34;;;
113,036;;;05:39;;;06:23;;;;;07:37;;;
115,76;Krynka Łukowska;o p;05:42;;;06:26;;;;;07:40;;;
123,53;Łuków;;05:48;;;06:31;;;;;07:45;;;
Do stacji : ;;;;;;;;;;;;;;
LEGENDA :;;;;;;;;;;;;;;
(C) kursuje w soboty, niedziele i święta;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świąt;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
R2;;;93860/1;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - Łuków ważny od 15.IX do 19.X;;;BOLIMEK;93262/3;93262/3;19855;10455;93802/3;19803 (C);93240/1;19857;21550/1;93264/5;19859
Km Od stacji : ;;;(D);(D) [1];(D) [2];;;(D);;(D);;;(D);
