R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - £uków wa¿ny od 23.XI do 8.XII;;;19801;19801;19891;19851;19891;19851;19853;10451;19841 (D);21610/1;93828/9;10453 (D)
Km Od stacji : ;;;[1];[2];(D) [3];(C) [4];[5];[6];;;;(D);(D);
;;;;;;;;;;;;Radom;¯yrardów;
0;Warszawa Zachodnia Warszawa Ochota;o o;00:24;00:30 <;03:36;03:36;03:39 <;03:39 <;04:17;;04:43;05:10;05:14;
2,175;;;00:28;;03:40;03:40;;;04:21;;04:47;05:14;05:18;
3,082;Warszawa Œródmieœcie;o;00:31;< ;03:43;03:43;< ;< ;04:24;;04:50;05:17;05:21;
3,082;Warszawa Centralna;p;< ;00:34;< ;< ;03:43;03:43;< ;;< ;< ;< ;
;;o;< ;00:35;< ;< ;03:44;03:44;< ;;< ;< ;< ;
4,872;Warszawa Powiœle Warszawa Stadion;o o;00:34;< ;03:46;03:46;< ;< ;04:27;;04:53;05:20;05:24;
6,278;;;00:37;< ;03:48;03:48;< ;< ;04:30;;04:56;05:22;05:26;
7,336;Warszawa Wschodnia;p;00:39;00:41;03:50;03:50;03:50;03:50;04:32;;04:58;05:24;05:28;
;;o;00:40;00:42;03:51;03:51;03:51;03:51;04:33;;05:01;05:25;05:30;
14,835;Warszawa Rembertów;p;00:47;00:50;03:58;03:58;03:58;03:58;04:39;;05:08;05:32;05:37;
;;o;00:48;00:51;03:59;03:59;03:59;03:59;04:40;;05:09;05:33;05:38;
19,467;W-wa Weso³a;o o;00:53;00:56;04:04;04:04;04:04;04:04;04:45;;05:14;05:38;05:43;
21,265;W-wa Wola Grzybowska;;00:55;00:58;04:07;04:07;04:07;04:07;04:47;;05:17;05:41;05:45;
23,071;Sulejówek;o;00:58;01:01;04:09;04:09;04:09;04:09;04:50;;05:19;05:43;05:48;
24,649;Sulejówek Mi³osna;p;01:00;01:03;04:11;04:11;04:11;04:11;04:51;;05:21;05:45;05:50;
;;o;01:00;01:03;04:12;04:12;04:12;04:12;04:52;;05:22;05:46;05:50;
28,746;Halinów Cisie;o o;01:04;01:07;04:15;04:15;04:15;04:15;04:55;;05:25;05:49;05:54;
31,895;;;01:07;01:10;04:18;04:18;04:18;04:18;04:58;;05:28;05:52;05:57;
34,433;Dêbe Wielkie;o o;01:10;01:13;04:21;04:21;04:21;04:21;05:01;;05:31;05:55;06:00;
35,743;Nowe Dêbe Wielkie;;01:12;01:15;04:24;04:24;04:24;04:24;05:03;;05:33;05:57;06:02;
38,882;Wrzosów;o;01:15;01:18;04:27;04:27;04:27;04:27;05:06;;05:36;06:00;06:05;
43,677;Miñsk Maz.;p;01:19;01:22;04:31;04:31;04:31;04:31;05:09;;05:41;06:04;06:09;
;;o; ; ;04:32;04:32;04:32;04:32;05:10;;05:45;06:05; ;
46,169;Miñsk Maz. Anielina Barcz¹ca;o o;;;04:35;04:35;04:35;04:35;05:13;;05:48;06:08;;
49,225;;;;;04:38;04:38;04:38;04:38;05:16;;05:51;06:11;;
53,486;Mienia Ceg³ów;o o;;;04:41;04:41;04:41;04:41;05:19;;05:54;06:15;;
56,866;;;;;04:45;04:45;04:45;04:45;05:22;;05:58;06:18;;
61,767;Mrozy;p;;;04:48;04:48;04:48;04:48;05:26;;06:02;06:22;;
66,876;Grodziszcze Maz.;o o;;;04:49;04:49;04:49;04:49;05:26;; ; ;;
;;;;;04:53;04:53;04:53;04:53;05:30;;;;;
71,847;Sosnowe Koszewnica;o o;;;04:57;04:57;04:57;04:57;05:34;;;;;
75,251;;;;;05:00;05:00;05:00;05:00;05:37;;;;;
80,51;Kotuñ Sabinka;o o;;;05:05;05:05;05:05;05:05;05:41;;;;;
88,427;;;;;05:10;05:10;05:10;05:10;05:46;;;;;
92,945;Siedlce Zach.;o;;;05:14;05:14;05:14;05:14;05:50;;;;;
95,776;Siedlce;p;;;05:17;05:17;05:17;05:17;05:53; ;;;; 
;;o;;;05:18; ;05:18; ; ;06:02;;;;07:07
98,496;Siedlce Wschodnie;o o;;;05:21;;05:21;;;06:05;;;;07:10
100,417;Bia³ki Siedleckie;;;;05:24;;05:24;;;06:07;;;;07:13
103,415;Kosiorki;o o;;;05:27;;05:27;;;06:10;;;;07:16
105,962;Borki Kosy;;;;05:30;;05:30;;;06:13;;;;07:19
110,404;Dziewule Radomyœl;o o;;;05:34;;05:34;;;06:17;;;;07:23
113,036;;;;;05:37;;05:37;;;06:20;;;;07:26
115,76;Krynka £ukowska;o p;;;05:40;;05:40;;;06:23;;;;07:29
123,53;£uków;;;;05:45;;05:45;;;06:29;;;;07:34
Do stacji : ;;;;;;;;;;;;;;
LEGENDA :;;;;;;;;;;;;;;
(C) kursuje w soboty, niedziele i œwiêta;;;;;;;;;;;;;;
(D) kursuje od poniedzia³ku do pi¹tku oprócz œwi¹tUWAGI :;;;;;;;;;;;;;;
[1]   kursuje oprócz 1-4.XII;;;;;;;;;;;;;;
[2]   kursuje 1-4.XII;;;;;;;;;;;;;;
[3]   kursuje w (D) oprócz 3-4.XII;;;;;;;;;;;;;;
[4]   kursuje w (C) oprócz 1-2.XII;;;;;;;;;;;;;;
[5]   kursuje 3-4.XII;;;;;;;;;;;;;;
[6]   kursuje 1-2.XII;;;;;;;;;;;;;;
R2;;;R2;R2;93860/1;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - £uków wa¿ny od 23.XI do 8.XII;;;19855;21800/1;BOLIMEK;93950/1;21614/5;93940/1;19857;10455;93800/1;93952/3;19859;93822/3
Km Od stacji : ;;;;(D);(D);(D);(D);(D);;;;(D);;(D)
;;;;Radom;¯yrardów;Sochaczew;Radom;£owicz G³ówny;;;£owicz G³ówny;Sochaczew;;GRODZISK MAZ.
0;Warszawa Zachodnia Warszawa Ochota;o o;05:47;06:02;06:14 <;06:17;06:28;06:40;06:47;;07:17;07:36;07:47;08:02
2,175;;;05:51;06:06;;06:21;06:32;06:44;06:51;;07:21;07:40;07:51;08:06
3,082;Warszawa Œródmieœcie;o;05:54;06:09;< ;06:24;06:35;06:47;06:54;;07:24;07:43;07:54;08:09
3,082;Warszawa Centralna;p;< ;< ;06:18;< ;< ;< ;< ;;< ;< ;< ;< 
;;o;< ;< ;06:25;< ;< ;< ;< ;;< ;< ;< ;< 
4,872;Warszawa Powiœle Warszawa Stadion;o o;05:57;06:12;< ;06:27;06:38;06:50;06:57;;07:27;07:46;07:57;08:12
6,278;;;06:00;06:15;< ;06:30;06:41;06:52;07:00;;07:30;07:48;08:00;08:14
7,336;Warszawa Wschodnia;p;06:02;06:17;06:31;06:32;06:43;06:54;07:02;;07:32;07:50;08:02;08:16
;;o;06:04;06:18;06:32;06:33;06:51;06:55;07:03;;07:33;07:51;08:04;08:21
14,835;Warszawa Rembertów;p;06:12;06:25;|;06:40;06:57;07:02;07:09;;07:39;07:58;08:11;08:28
;;o;06:13;06:26;|; ;06:58; ;07:10;;07:40; ;08:12;08:29
19,467;W-wa Weso³a;o o;06:17;06:31;|;;07:03;;07:14;;07:44;;08:16;08:34
21,265;W-wa Wola Grzybowska;;06:20;06:33;|;;07:05;;07:16;;07:47;;08:19;08:36
23,071;Sulejówek;o;06:22;06:36;|;;07:08;;07:19;;07:49;;08:21;08:39
24,649;Sulejówek Mi³osna;p;06:24;06:38;|;;07:10;;07:21;;07:51;;08:23;08:41
;;o;06:24;06:38;|;;07:10;;07:21;;07:52;;08:23;08:41
28,746;Halinów Cisie;o o;06:28;06:42;06:51;;07:14;;07:24;;07:55;;08:27;08:45
31,895;;;06:31;06:45;|;;07:18;;07:27;;07:58;;08:30;08:48
34,433;Dêbe Wielkie;o o;06:33;06:48;|;;07:21;;07:30;;08:01;;08:32;08:51
35,743;Nowe Dêbe Wielkie;;06:36;06:50;|;;07:23;;07:32;;08:03;;08:34;08:53
38,882;Wrzosów;o;06:39;06:53;|;;07:26;;07:35;;08:06;;08:37;08:56
43,677;Miñsk Maz.;p;06:42;06:57;07:01;;07:31;;07:39;;08:10;;08:41;09:00
;;o;06:43; ;07:02;; ;;07:40;; ;;08:42; 
46,169;Miñsk Maz. Anielina Barcz¹ca;o o;06:46;;|;;;;07:42;;;;08:44;
49,225;;;06:49;;|;;;;07:45;;;;08:47;
53,486;Mienia Ceg³ów;o o;06:53;;|;;;;07:49;;;;08:51;
56,866;;;06:56;;07:10;;;;07:52;;;;08:54;
61,767;Mrozy;p;06:59;;07:13;;;;07:55;;;;08:57;
66,876;Grodziszcze Maz.;o o;07:00;;07:14;;;;07:56;;;;08:58;
;;;07:04;;|;;;;08:00;;;;09:02;
71,847;Sosnowe Koszewnica;o o;07:08;;|;;;;08:04;;;;09:06;
