__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
;;19801;19891 (D);93851 (C);10451;19851;19841;19841;19803 (D);93220/1;10453 (D);19853;93260/1
;;;;;;;[1];(D) [2];;(D) [2];;;(D)
;;;;;;;;;;Żyrardów;;;Sochaczew
Warszawa Zachodnia;o o;00:27;03:39;03:39;;04:20;04:50;05:05;05:20;05:24;;05:39;05:57
Warszawa Ochota;;00:31;03:43;03:43;;04:24;04:54;05:09;05:24;05:28;;05:43;06:01
Warszawa Śródmieście;o;00:34;03:46;03:46;;04:27;04:57;05:12;05:27;05:31;;05:46;06:05
Warszawa Powiśle;o o;00:37;03:49;03:49;;04:30;05:00;05:15;05:30;05:34;;05:49;06:07
Warszawa Stadion;;00:39;03:51;03:51;;04:32;05:02;05:17;05:32;05:36;;05:51;06:10
Warszawa Wschodnia;p;00:41;03:53;03:53;;04:34;05:04;05:19;05:34;05:38;;05:53;06:12
Warszawa Wschodnia;o;00:42;03:54;03:54;;04:35;05:09;05:20;05:35;05:39;;05:54;06:13
Warszawa Rembertów;p;00:48;04:01;04:01;;04:41;05:16;05:27;05:42;05:46;;06:00;06:20
Warszawa Rembertów;o;00:49;04:02;04:02;;04:42;05:17;05:28;05:43; ;;06:01; 
W-wa Wesoła;o o;00:54;04:06;04:06;;04:46;05:21;05:32;05:47;;;06:05;
W-wa Wola Grzybowska;;00:56;04:08;04:08;;04:49;05:23;05:34;05:49;;;06:08;
Sulejówek;o;00:59;04:11;04:11;;04:51;05:26;05:37;05:52;;;06:10;
Sulejówek Miłosna;p;01:01;04:13;04:13;;04:53;05:28;05:39;05:54;;;06:12;
Sulejówek Miłosna;o;01:01;04:13;04:13;;04:53;05:28;05:39;05:54;;;06:12;
Halinów;o o;01:05;04:17;04:17;;04:57;05:32;05:43;05:58;;;06:16;
Cisie;;01:08;04:20;04:20;;05:00;05:35;05:46;06:01;;;06:19;
Dębe Wielkie;o o;01:11;04:23;04:23;;05:02;05:38;05:49;06:04;;;06:21;
Nowe Dębe Wielkie;;01:13;04:25;04:25;;05:04;05:40;05:51;06:06;;;06:23;
Wrzosów;o;01:16;04:28;04:28;;05:07;05:43;05:54;06:09;;;06:26;
Mińsk Maz.;p;01:20;04:32;04:32;;05:11;05:47;05:58;06:13;;;06:30;
Mińsk Maz.;o; ;04:33;04:33;;05:12;05:48;05:59; ;;;06:31;
Mińsk Maz. Anielina;o o;;04:36;04:36;;05:14;05:51;06:02;;;;06:33;
Barcząca;;;04:39;04:39;;05:17;05:54;06:05;;;;06:36;
Mienia;o o;;04:43;04:43;;05:21;05:57;06:08;;;;06:40;
Cegłów;;;04:46;04:46;;05:24;06:01;06:12;;;;06:43;
Mrozy;p;;04:50;04:50;;05:27;06:05;06:16;;;;06:46;
Grodziszcze Maz.;o o;;04:50;04:50;;05:28; ; ;;;;06:47;
Grodziszcze Maz.;;;04:54;04:54;;05:32;;;;;;06:51;
Sosnowe;o o;;04:58;04:58;;05:36;;;;;;06:55;
Koszewnica;;;05:02;05:02;;05:39;;;;;;06:58;
Kotuń;o o;;05:06;05:06;;05:43;;;;;;07:02;
Sabinka;;;05:12;05:12;;05:48;;;;;;07:07;
Siedlce Zach.;o;;05:16;05:16;;05:51;;;;;;07:10;
Siedlce;p;;05:19;05:19; ;05:54;;;;; ;07:13;
Siedlce;o;;05:20; ;05:59; ;;;;;07:18; ;
Siedlce Wschodnie;o o;;05:23;;06:02;;;;;;07:21;;
Białki Siedleckie;;;05:26;;06:05;;;;;;07:24;;
Kosiorki;o o;;05:29;;06:08;;;;;;07:27;;
Borki Kosy;;;05:32;;06:11;;;;;;07:30;;
Dziewule;o o;;05:36;;06:15;;;;;;07:34;;
Radomyśl;;;05:39;;06:18;;;;;;07:37;;
Krynka Łukowska;o p;;05:42;;06:21;;;;;;07:40;;
Łuków;;;05:47;;06:26;;;;;;07:45;;
__BEGIN__;;R2;R2;R2;93860/1;93860/1;R2;R2;R2;R2;R2;R2;R2
;;21840/1;93262/3;91670/1;BOLIMEK;BOLIMEK;19855;10455;93802/3;19803 (C);93240/1;19857;91444/5
;;(D);(D);(D);(D) [1];(D) [2];;;(D);;(D);;(D)
;;Radom;Sochaczew;Piaseczno;Żyrardów;Żyrardów;;;Sochaczew;;GRODZISK MAZ.;;Sochaczew
Warszawa Zachodnia;o o;06:05;06:19;06:28;06:35;06:35;06:39;;07:05;07:05;07:27;07:39;08:05
Warszawa Ochota;;06:09;06:23;06:32; <; <;06:43;;07:09;07:09;07:31;07:43;08:09
Warszawa Śródmieście;o;06:12;06:26;06:35;< ;< ;06:46;;07:12;07:12;07:35;07:46;08:12
Warszawa Centralna;p;< ;< ;< ;06:39;06:39;< ;;< ;< ;< ;< ;< 
Warszawa Centralna;o;< ;< ;< ;06:44;06:44;< ;;< ;< ;< ;< ;< 
Warszawa Powiśle;o o;06:15;06:29;06:38;< ;< ;06:49;;07:15;07:15;07:37;07:49;08:15
Warszawa Stadion;;06:17;06:31;06:40;< ;< ;06:51;;07:17;07:17;07:40;07:51;08:17
Warszawa Wschodnia;p;06:19;06:33;06:42;06:50;06:50;06:53;;07:19;07:19;07:42;07:53;08:19
Warszawa Wschodnia;o;06:20;06:34;06:43;06:51;06:51;06:54;;07:20;07:20;07:43;07:54;08:20
Warszawa Rembertów;p;06:27;06:40;06:50;|;|;07:00;;07:27;07:27;07:50;08:00;08:26
Warszawa Rembertów;o;06:28;06:41; ;|;|;07:01;;07:28;07:28; ;08:01;08:27
W-wa Wesoła;o o;06:32;06:45;;|;|;07:05;;07:32;07:32;;08:05;08:31
W-wa Wola Grzybowska;;06:34;06:48;;|;|;07:08;;07:34;07:34;;08:08;08:34
Sulejówek;o;06:37;06:50;;|;|;07:10;;07:37;07:37;;08:10;08:36
Sulejówek Miłosna;p;06:39;06:52;;|;|;07:12;;07:39;07:39;;08:12;08:38
Sulejówek Miłosna;o;06:39;06:53;;|;|;07:12;;07:40;07:40;;08:12;08:39
Halinów;o o;06:43;06:56;;07:07;07:07;07:16;;07:43;07:43;;08:16;08:43
Cisie;;06:46;06:59;;|;|;07:19;;07:46;07:46;;08:19;08:46
Dębe Wielkie;o o;06:49;07:02;;|;|;07:21;;07:49;07:49;;08:21;08:49
Nowe Dębe Wielkie;;06:51;07:04;;|;|;07:23;;07:51;07:51;;08:23;08:51
Wrzosów;o;06:54;07:07;;|;|;07:26;;07:54;07:54;;08:26;08:54
Mińsk Maz.;p;06:58;07:12;;07:20;07:20;07:30;;07:58;07:58;;08:30;08:58
