stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Aleksandrów Kujawski;52.875556;18.696944;13;0;0;0;0;20;3;0;0
Andrychów;49.855803;19.353147;0;0;0;0;8;0;2;0;0
Andrychów Górn.;49.8548934;19.3412842;0;0;0;0;8;0;2;0;0
Andrzejówka;49.339497;20.821408;0;0;0;0;0;0;7;0;0
Anieliny;53.129167;17.486389;7;0;0;0;0;0;6;0;0
Antonin;51.513611;17.86;0;0;0;0;0;0;8;0;0
Antoniów;51.476111;20.199167;0;0;0;0;0;0;4;0;0
Antoniówka;51.425;21.278889;0;0;21;0;0;0;0;0;0
Arcelin;52.660031;20.317422;0;0;8;0;0;0;0;0;0
Augustów;53.852158;23.027361;0;0;0;0;0;2;3;0;0
Augustów Port;53.858239;23.010439;0;0;0;0;0;0;3;0;0
Augustówka;51.9875;21.513611;0;0;39;0;0;0;0;0;0
Azory;52.241528;19.302972;0;0;12;0;0;0;0;0;0
Babi Dó³;54.301667;18.288611;0;0;0;0;0;0;17;0;0
Babica;49.934444;21.900278;0;0;0;0;0;0;4;0;0
Babica Kolonia;49.933889;21.871389;0;0;0;0;0;0;4;0;0
Babimost;52.168333;15.814722;0;0;0;0;0;3;14;0;0
Baborówko;52.5825;16.626667;0;0;0;0;0;0;16;0;0
Baboszewo;52.682778;20.260278;0;0;8;0;0;0;0;0;0
Baby;51.531227;19.714179;0;0;0;0;0;0;19;0;0
Baby GT;51.531227;19.714179;0;0;0;0;0;0;1;0;0
Baciuty;53.050081;22.988719;0;0;0;0;0;0;10;0;0
Bajtkowo;53.737222;22.240278;0;0;0;0;0;0;4;0;0
Balin;50.179131;19.383317;0;0;0;0;0;0;14;0;0
Balinka;53.768878;23.160678;0;0;0;0;0;0;3;0;0
Baranówka;50.146839;20.095425;0;0;0;0;0;0;17;0;0
Barchów;52.518722;21.650472;0;0;24;0;0;7;0;0;0
Barcice;49.526733;20.64845;0;0;0;0;0;0;6;0;0
Barczewo;53.845;20.701111;0;0;0;0;0;0;13;0;0
Barcz¹ca;52.156667;21.626111;0;0;48;0;0;0;0;0;0
Bardo Przy³êk;50.516001;16.778248;0;9;0;0;0;0;17;0;0
Bardo Œl¹skie;50.5;16.733333;0;9;0;0;0;0;23;0;0
Bartnica;50.641389;16.410278;0;7;0;0;0;0;0;0;0
Bartodzieje;51.526667;21.177778;0;0;35;0;0;0;0;0;0
Bart¹g;53.712908;20.447103;0;0;0;0;0;0;8;0;0
Barwa³d Górny;49.8655;19.623192;0;0;0;0;0;0;7;0;0
Barwa³d Œredni;49.872125;19.598569;0;0;0;0;0;0;7;0;0
Barzkowice;53.327047;15.263389;0;0;0;0;0;0;10;0;0
Bar³ogi;52.216111;18.768611;0;0;0;10;0;0;0;0;0
Baszewice;53.863203;15.192203;0;0;0;0;0;0;10;0;0
Basznia;50.179056;23.250953;0;0;0;0;0;0;4;0;0
Basznia Dolna;50.191269;23.208789;0;0;0;0;0;0;4;0;0
